FirstName,LastName,Start_date,end_date,ID,Position
Ryan,Cox,2023-12-24,2031-09-26,S2023-SHKPMQ,Librarian
John,Sanchez,2016-08-23,2021-10-23,S2016-QUBPME,Reference Assistant
David,Luna,2018-01-25,2019-12-13,S2018-VBKXAI,Technician
Cathy,Briggs,2019-03-28,2029-01-21,S2019-CCALNA,Library Clerk
Gina,Fisher,2022-08-24,2032-05-31,S2022-OCNXDJ,Library Clerk
Mary,Morris,2024-10-22,2032-09-12,S2024-BEWJSV,Reference Assistant
Patricia,Hebert,2017-10-27,2027-09-19,S2017-EFOHDA,Reference Assistant
Monica,Brown,2022-03-02,2028-02-10,S2022-XFYKBH,Librarian
Karen,Robertson,2017-04-26,2022-10-18,S2017-IJUCHD,Technician
Lisa,Mayer,2019-03-02,2024-02-04,S2019-LPGXQJ,Archivist
Jeffery,Horton,2025-01-02,2029-03-31,S2025-QSDHCI,Library Clerk
Chris,Larson,2022-04-05,2029-06-04,S2022-WFODUC,Librarian
Brenda,Cowan,2016-03-27,2023-07-02,S2016-WQGTKA,Archivist
Stephen,Campbell,2024-08-30,2034-08-19,S2024-SGQNYK,Cataloger
Sandra,Wise,2017-07-09,2019-07-02,S2017-BKIAGL,Librarian
